genome	fastbaps_group	n_contigs	N50	total_len	assembly_level	checkm_completeness	checkm_contamination	seq_tech	strain	isolate
GCF_001638575.1	13	15	239764	1741024	Scaffold	99.37		Illumina HiSeq	SST2099-1	
GCF_001638585.1	13	10	307461	1750481	Scaffold	99.39		Illumina HiSeq	SST2102-1	
GCF_001638645.1	4	32	101708	1880503	Scaffold	99.76		Illumina HiSeq	SST2232-1	
GCF_001638675.1	12	17	219329	1812526	Scaffold	99.64		Illumina HiSeq	SST2235-1	
GCF_001638695.1	13	19	239682	1790770	Scaffold	99.68		Illumina HiSeq	SST2237-1	
GCF_001638725.1	12	11	294747	1812778	Scaffold	99.64		Illumina HiSeq	SST2233-1	
GCF_001638745.1	12	29	186729	1815817	Scaffold	99.6	0.04	Illumina HiSeq	SST2236-1	
GCF_001638775.1	13	16	239650	1742559	Scaffold	99.37		Illumina HiSeq	SST2240-1	
GCF_001638805.1	13	15	218320	1832398	Scaffold	99.4	0.67	Illumina HiSeq	SST2241-1	
GCF_001638845.2	12	1	1765123	1765123	Complete Genome	99.01		Illumina MiSeq; 454	NS53	
GCF_001638865.1	13	17	242744	1740786	Scaffold	99.34		Illumina HiSeq	SST2245-1	
GCF_001638895.1	13	14	239636	1741874	Scaffold	98.7	0.22	Illumina HiSeq	SST2243-1	
GCF_001640945.2	12	1	1811936	1811936	Chromosome	99.36		HiSeq 2000 technology Illumina	STAB13021	
GCF_001678885.1	3	1	1862487	1862487	Complete Genome	98.94		Illumina	STAB09014	
GCF_001937265.1	13	30	126711	1785289	Scaffold	98.88		Illumina HiSeq	JS95	
GCF_001982765.1	13	22	202712	1807388	Scaffold	99.54		Illumina MiSeq	CCUG 33061	
GCF_001982785.1	9	45	114860	1863165	Scaffold	99.57		Illumina HiSeq 2500	CCUG 4207	
GCF_002016575.1	10	31	177881	1777498	Scaffold	98.97		Illumina HiSeq	CCUG 25570	
GCF_002055535.1	9	1	1914862	1914862	Complete Genome	99.57			NCTC8198	
GCF_002163545.1	11	1	1890465	1890465	Complete Genome	98.99	0.22	Illumina	STAB14018	
GCF_002236855.1	13	1	1893171	1893171	Complete Genome	99.7		Illumina MiSeq	GURSA1	
GCF_002236875.1	13	1	1890204	1890204	Complete Genome	99.7		Illumina MiSeq	GUR	
GCF_002238295.1	11	1	1846347	1846347	Complete Genome	99.7	0.22	Illumina; PCR + Sanger	STAB090229	
GCF_002238315.1	11	1	1890354	1890354	Complete Genome	98.66	0.22	Illumina; PCR + sanger	STAB120304	
GCF_002250265.1	15	38	162462	1953330	Scaffold	98.93		Illumina HiSeq	spy0390	
GCF_002250335.1	15	39	161765	1934710	Scaffold	98.93		Illumina HiSeq	spy0392	
GCF_002355175.1	6	1	1893821	1893821	Complete Genome	99.21			M3-b	
GCF_002355815.1	5	1	1741982	1741982	Complete Genome	98.1		MiSeq;ABI 3730	JMUB1235	
GCF_002557755.1	3	1	1852980	1852980	Complete Genome	98.67		Illumina MiSeq; Oxford Nanopore MinION	HarveyGAS	
GCF_002844355.1	13	1	1810283	1810283	Complete Genome	99.3		PacBio	JS12	
GCF_003025365.1	10	1	1939844	1939844	Complete Genome	99.46		Illumina HiSeq; Oxford Nanopore	TJ11-001	
GCF_003203475.1	13	1	1790938	1790938	Complete Genome	99.18	0.08	PacBio	NGAS979	
GCF_003352145.1	8	1	1869673	1869673	Complete Genome	98.33		PacBio	DMG1800716	
GCF_003609955.1	6	1	1900008	1900008	Complete Genome	99.19		NextSeq; PacBio RSII	KS030	
GCF_003640605.1	1	1	1903997	1903997	Complete Genome	99.52		PacBio; Illumina	SASM4-Duke	
GCF_003698205.1	6	1	1866513	1866513	Complete Genome	98.52		Illumina HiSeq; PacBio	ABC020055975	
GCF_003812645.1	10	1	1837737	1837737	Complete Genome	99.47		PacBio; Illumina	FDAARGOS_534	
GCF_003812725.1	6	2	1899746	1902112	Complete Genome	99.13		PacBio; Illumina	FDAARGOS_514	
GCF_003814365.1	1	1	1903852	1903852	Complete Genome	99.52		Illumina MiSeq; PacBio	Duke-Large	
GCF_003814385.1	1	1	1903972	1903972	Complete Genome	99.47		Illumina MiSeq; PacBio	RLGH	
GCF_004010855.1	3	1	1853912	1853912	Complete Genome	99.11		Oxford Nanopore MiniION; Illumina NextSeq	MGAS27961	
GCF_004010875.1	3	1	1851471	1851471	Complete Genome	99.11		Oxford Nanopore MiniION; Illumina NextSeq	MGAS28085	
GCF_004123995.1	7	1	1882327	1882327	Complete Genome	99.3		Illumina MiSeq; Oxford Nanopore GridION	TSPY155	
GCF_004124015.1	12	2	1828132	1833100	Complete Genome	99.47	0.25	Illumina MiSeq; Oxford Nanopore GridION	TSPY556	
GCF_004124075.1	14	1	1976011	1976011	Complete Genome	99.62		Illumina MiSeq; Oxford Nanopore GridION	TSPY453	
GCF_004124115.1	11	1	1801696	1801696	Complete Genome	97.69		Illumina MiSeq; Oxford Nanopore GridION	TSPY208	
GCF_004124135.1	12	1	1812036	1812036	Complete Genome	99.7		Illumina MiSeq; Oxford Nanopore GridION	TSPY165	
GCF_004135875.1	11	1	1852894	1852894	Complete Genome	99.7	0.22	PacBio	M75	
GCF_004153945.1	3	1	1833822	1833822	Complete Genome	99.11		Oxford Nanopore MinION & Illumina NextSeq 500	MGAS8347	
GCF_004153965.1	3	1	1937069	1937069	Complete Genome	98.9		Oxford Nanopore MinION & Illumina NextSeq 500	MGAS10786	
GCF_004153985.1	3	1	1885126	1885126	Complete Genome	99.11		Oxford Nanopore MinION & Illumina NextSeq 500	MGAS7914	
GCF_004154005.1	3	1	1962429	1962429	Complete Genome	99.07		Oxford Nanopore MinION & Illumina NextSeq 500	MGAS7888	
GCF_004154025.1	3	1	1894040	1894040	Complete Genome	98.23		Oxford Nanopore MinION & Illumina NextSeq 500	MGAS29409	
GCF_004154045.1	3	1	1940684	1940684	Complete Genome	98.9		Oxford Nanopore MinION & Illumina NextSeq 500	MGAS29326	
GCF_004154065.1	3	1	1946265	1946265	Complete Genome	98.23		Oxford Nanopore MinION & Illumina NextSeq 500	MGAS29284	
GCF_004154085.1	3	1	1853620	1853620	Complete Genome	98.61		Oxford Nanopore MinION & Illumina NextSeq 500	MGAS28746	
GCF_004154105.1	3	1	1894087	1894087	Complete Genome	98.84		Oxford Nanopore MinION & Illumina NextSeq 500	MGAS28686	
GCF_004154125.1	3	1	1905059	1905059	Complete Genome	99.07		Oxford Nanopore MinION & Illumina NextSeq 500	MGAS28669	
GCF_004154145.1	3	1	1851876	1851876	Complete Genome	98.94		Oxford Nanopore MinION & Illumina NextSeq 500	MGAS28650	
GCF_004154165.1	3	1	1893263	1893263	Complete Genome	99.07		Oxford Nanopore MinION & Illumina NextSeq 500	MGAS28533	
GCF_004154185.1	3	1	1893041	1893041	Complete Genome	99.07		Oxford Nanopore MinION & Illumina NextSeq 500	MGAS28360	
GCF_004154205.1	3	1	1851619	1851619	Complete Genome	99.11		Oxford Nanopore MinION & Illumina NextSeq 500	MGAS28330	
GCF_004154225.1	3	1	1893446	1893446	Complete Genome	98.9		Oxford Nanopore MinION & Illumina NextSeq 500	MGAS28278	
GCF_004154245.1	3	1	1842830	1842830	Complete Genome	99.11		Oxford Nanopore MinION & Illumina NextSeq 500	MGAS28271	
GCF_004154265.1	3	1	1892473	1892473	Complete Genome	99.07		Oxford Nanopore MinION & Illumina NextSeq 500	MGAS28191	
GCF_004154285.1	3	1	1851403	1851403	Complete Genome	98.83		Oxford Nanopore MinION & Illumina NextSeq 500	MGAS11115	
GCF_004154305.1	3	1	1853812	1853812	Complete Genome	98.83		Oxford Nanopore MinION & Illumina NextSeq 500	MGAS11108	
GCF_004154325.1	3	1	1839848	1839848	Complete Genome	98.28		Oxford Nanopore MinION & Illumina NextSeq 500	MGAS29064	
GCF_004154345.1	3	1	1837594	1837594	Complete Genome	98.44		Oxford Nanopore MinION & Illumina NextSeq 500	MGAS28386	
GCF_004154365.1	3	1	1880780	1880780	Complete Genome	99.11		Oxford Nanopore MinION & Illumina NextSeq 500	MGAS28078	
GCF_004154385.1	3	1	1907750	1907750	Complete Genome	98.9		Oxford Nanopore MinION & Illumina NextSeq 500	MGAS11052	
GCF_004154405.1	3	1	1852263	1852263	Complete Genome	99.11		Oxford Nanopore MinION & Illumina NextSeq 500	MGAS10826	
GCF_004193935.1	10	1	1878827	1878827	Complete Genome	99.42		PacBio	SP1336	
GCF_005160445.1	12	1	1756622	1756622	Complete Genome	99.67	0.4	PacBio	emm57	
GCF_005160565.1	13	1	1861037	1861037	Complete Genome	98.4	0.08	PacBio	emm74	
GCF_005160785.1	12	1	1816007	1816007	Complete Genome	99.43	0.27	PacBio	emmSTG866.1	
GCF_005160925.1	12	1	1899479	1899479	Complete Genome	99.11	0.72	PacBio	emm55	
GCF_005161125.1	12	1	1800116	1800116	Complete Genome	98.96		PacBio	emm105	
GCF_005161325.1	12	1	1779766	1779766	Complete Genome	98.79		PacBio	emm64.3	
GCF_005161465.1	12	1	1806521	1806521	Complete Genome	98.41	0.4	PacBio	emm78.3	
GCF_005161605.1	12	1	1950616	1950616	Complete Genome	98.02	0.24	PacBio	emm22.8	
GCF_005161825.1	12	1	1790668	1790668	Complete Genome	99.04		PacBio	emm124	
GCF_005161985.1	4	1	1888806	1888806	Complete Genome	99.78	0.27	PacBio	emm58	
GCF_005162245.1	12	1	1812090	1812090	Complete Genome	98.66	0.67	PacBio	emm97.1	
GCF_005162405.1	12	1	1825427	1825427	Complete Genome	99.2	2.0	PacBio	emm56	
GCF_005162565.1	13	1	1826467	1826467	Complete Genome	99.64	0.1	PacBio	emm70	
GCF_005162725.1	12	1	1701466	1701466	Complete Genome	99.03		PacBio	emm93.4	
GCF_005162865.1	13	1	1826832	1826832	Complete Genome	99.4	0.67	PacBio	emm230	
GCF_005163085.1	12	1	1768816	1768816	Complete Genome	99.11		PacBio	emm123	
GCF_005163245.1	13	1	1742565	1742565	Complete Genome	99.67		PacBio	emm54	
GCF_005163385.1	12	1	1788166	1788166	Complete Genome	99.52		PacBio	emmNA	
GCF_005163565.1	7	1	1809631	1809631	Complete Genome	99.14		PacBio	emm11	
GCF_005163705.1	12	1	1789855	1789855	Complete Genome	98.79		PacBio	emm65	
GCF_005163865.1	12	1	1887700	1887700	Complete Genome	99.69	0.23	PacBio	emm75.1	
GCF_005164025.1	12	1	1806344	1806344	Complete Genome	98.66		PacBio	emm89.14	
GCF_005164305.1	12	1	1806314	1806314	Complete Genome	99.63		PacBio	emm77	
GCF_005164585.1	9	1	1834762	1834762	Complete Genome	99.61		PacBio	emm1	
GCF_005164705.1	12	1	1835714	1835714	Complete Genome	98.46		PacBio	emm25	
GCF_005164885.1	12	1	1764969	1764969	Complete Genome	99.49		PacBio	emm90.5	
GCF_005165045.1	12	1	1758778	1758778	Complete Genome	99.07		PacBio	emm92	
GCF_005165265.1	12	1	1839531	1839531	Complete Genome	98.94		PacBio	emm100	
GCF_005165385.1	12	1	1797172	1797172	Complete Genome	99.61		PacBio	emm197	
GCF_005222545.1	12	1	1747924	1747924	Complete Genome	99.31		PacBio	emm68.2	
GCF_005472355.1	9	65	52785	1779172	Scaffold	98.35	0.25	Illumina MiSeq	emm1_S21	
GCF_005472365.1	9	76	53703	1752336	Scaffold	98.12	0.18	Illumina MiSeq	emm1_S16	
GCF_005472375.1	9	43	72948	1793046	Scaffold	98.86	0.05	Illumina MiSeq	emm1_S14	
GCF_005472385.1	9	30	118735	1788666	Scaffold	99.75		Illumina MiSeq	emm1_S18	
GCF_005472395.1	9	35	92173	1791093	Scaffold	98.61		Illumina MiSeq	emm1_S20	
GCF_005472455.1	9	26	93809	1794882	Scaffold	99.62		Illumina MiSeq	emm1_S11	
GCF_005472465.1	9	33	99642	1828588	Scaffold	99.01		Illumina MiSeq	emm1_S12	
GCF_005472475.1	9	49	63220	1794403	Scaffold	96.18		Illumina MiSeq	emm1_S6	
GCF_005472505.1	9	153	21465	1795639	Scaffold	95.84	0.68	Illumina MiSeq	emm1_S13	
GCF_005472555.1	9	72	66106	1764860	Scaffold	98.24	0.09	Illumina MiSeq	emm1_S4	
GCF_005472595.1	9	36	92173	1827570	Scaffold	99.01	0.07	Illumina MiSeq	emm1_S19	
GCF_005472605.1	9	40	69160	1780718	Scaffold	98.4	0.04	Illumina MiSeq	emm1_S15	
GCF_005472615.1	9	56	60389	1775344	Scaffold	98.39	0.04	Illumina MiSeq	emm1_S17	
GCF_006364235.1	9	1	1914862	1914862	Complete Genome	99.57		Pacbio; Illumina	FDAARGOS_774	
GCF_006740645.1	9	1	1778005	1778005	Complete Genome	97.78		PacBio RSII	10-85	
GCF_007990695.1	10	89	58756	1739442	Scaffold	99.47	0.67	Illumina	ATCC 11434	
GCF_008694005.1	10	4	1837758	1841346	Complete Genome	99.47		Pacbio; Illumina	FDAARGOS_668	
GCF_009664495.1	5	1	1746807	1746807	Complete Genome	97.76		PacBio RSII, Illumina NextSeq	AUSMDU00010539	
GCF_009738475.1	5	1	1741943	1741943	Complete Genome	97.87		Illumina HiSeq + PCR + sanger	STAB09023	
GCF_009738495.1	5	1	1742165	1742165	Complete Genome	98.1		Illumina HiSeq + PCR + sanger	STAB10048	
GCF_009832845.1	12	1	2010300	2010300	Complete Genome	99.66	0.03	Illumina GAIIx; Oxford Nanopore GridION	1085	
GCF_010499515.1	9	49	130952	1995610	Scaffold	99.68	1.09	Illumina NovaSeq	spy-1397	
GCF_010499535.1	10	83	183845	2004671	Scaffold	98.42	2.66	Illumina NovaSeq	spy-1326	
GCF_010499565.1	9	58	210847	2002928	Scaffold	99.68	2.39	Illumina NovaSeq	spy-498	
GCF_011290565.1	12	1	1832686	1832686	Complete Genome	97.68	1.5	Illumina GAIIx; Oxford Nanopore GridION	1040	
GCF_012572265.1	9	1	1835779	1835779	Complete Genome	99.72		Oxford Nanopore GridION & Illumina NextSeq	MGAS2221	
GCF_013306985.1	1	1	1890399	1890399	Complete Genome	99.13		PacBio Sequel	4063-05	
GCF_014191695.1	6	1	1900555	1900555	Complete Genome	99.28		Illumina MiSeq; Oxford Nanopore Technologies MinION	NIH34	
GCF_014191835.1	3	1	1853362	1853362	Complete Genome	98.89		Illumina MiSeq; Oxford Nanopore Technologies MinION	NIH35	
GCF_014192005.1	12	1	1854597	1854597	Complete Genome	98.57		Illumina MiSeq; Oxford Nanopore Technologies MinION	KUN-0012590	
GCF_014192175.1	5	1	1747400	1747400	Complete Genome	98.07		Illumina MiSeq; Oxford Nanopore Technologies MinION	KUN-0014944	
GCF_014218015.1	12	1	1918725	1918725	Complete Genome	99.28		Illumina HiSeq	37-97S	
GCF_014218035.1	12	1	1918724	1918724	Chromosome	98.45		Illumina HiSeq	37-97P	
GCF_014495925.1	1	1	1865571	1865571	Complete Genome	99.6		Oxford Nanopore; Illumina	BSAC_bs192	Invasive disease
GCF_014495945.1	1	1	1932413	1932413	Complete Genome	99.56		Oxford Nanopore; Illumina	BSAC_bs1388	Invasive disease
GCF_014495965.1	1	1	1909430	1909430	Complete Genome	99.6		Oxford Nanopore; Illumina	BSAC_bs1802	Invasive disease
GCF_014495985.1	1	1	1859391	1859391	Complete Genome	99.49		Oxford Nanopore; Illumina	BSAC_bs472	Invasive disease
GCF_016126835.1	12	1	1862424	1862424	Complete Genome	99.71		Illumina NextSeq; Oxford Nanopore GridION	emm9ST603	
GCF_016549335.1	15	1	1897111	1897111	Complete Genome	99.49		Illumina; Oxford Nanopore MinION	iGAS426	
GCF_016549355.1	15	1	1897124	1897124	Complete Genome	99.55		Illumina; Oxford Nanopore MinION	iGAS376	
GCF_016549375.1	15	1	1897129	1897129	Complete Genome	99.54		Illumina; Oxford Nanopore MinION	iGAS391	
GCF_017132795.1	9	1	1831274	1831274	Complete Genome	99.72		Illumina NextSeq; Oxford Nanopore GridION	M11318	
GCF_017638465.1	12	1	1852911	1852911	Complete Genome	99.42		Illumina NextSeq; Oxford Nanopore GridION	M08500	
GCF_018140985.1	10	1	1866140	1866140	Complete Genome	99.25		Illumina MiSeq; Oxford Nanopore GridION	TSPY1687	
GCF_019335345.1	9	32	99843	1899607	Scaffold	99.61		Illumina HiSeq	GAS1299	
GCF_019335455.1	9	32	101249	1906957	Scaffold	99.72		Illumina HiSeq	GAS961	
GCF_019335505.1	9	25	123093	1797975	Scaffold	99.72		Illumina HiSeq	GAS2015	
GCF_019335565.1	9	27	123070	1861039	Scaffold	99.72		Illumina HiSeq	GAS1693	
GCF_019335615.1	9	31	101253	1899811	Scaffold	99.72		Illumina HiSeq	GAS561	
GCF_019335645.1	10	46	98701	1851318	Scaffold	99.25		Illumina HiSeq	GAS744	
GCF_019335665.1	9	29	114765	1862022	Scaffold	99.72		Illumina HiSeq	GAS377	
GCF_019335725.1	9	27	123070	1861040	Scaffold	99.72		Illumina HiSeq	GAS343	
GCF_019335745.1	10	45	98812	1851617	Scaffold	99.25		Illumina HiSeq	GAS552	
GCF_019335765.1	10	45	98812	1850944	Scaffold	99.2		Illumina HiSeq	GAS738	
GCF_019335785.1	10	35	99731	1820246	Scaffold	99.25		Illumina HiSeq	GAS1854	
GCF_019335805.1	10	45	98773	1849449	Scaffold	99.25		Illumina HiSeq	GAS1966	
GCF_019335825.1	10	35	99711	1819538	Scaffold	99.25		Illumina HiSeq	GAS669	
GCF_019335835.1	10	36	99731	1824430	Scaffold	99.25		Illumina HiSeq	GAS1914	
GCF_019335845.1	10	45	99571	1851932	Scaffold	99.14		Illumina HiSeq	GAS2000	
GCF_019335885.1	10	43	98773	1846486	Scaffold	99.25		Illumina HiSeq	GAS1843	
GCF_019335895.1	10	48	99038	1851465	Scaffold	99.25		Illumina HiSeq	GAS1858	
GCF_019335925.1	10	37	99731	1828873	Scaffold	99.25		Illumina HiSeq	GAS875	
GCF_019335945.1	10	46	98813	1851035	Scaffold	99.25		Illumina HiSeq	GAS303	
GCF_019335965.1	10	46	98773	1850669	Scaffold	99.25		Illumina HiSeq	GAS1208	
GCF_019335985.1	10	45	98926	1851338	Scaffold	99.25		Illumina HiSeq	GAS335	
GCF_019335995.1	10	48	98774	1851183	Scaffold	99.25		Illumina HiSeq	GAS318	
GCF_019336025.1	10	36	99731	1820458	Scaffold	99.22		Illumina HiSeq	GAS337	
GCF_019336045.1	10	34	99731	1824729	Scaffold	99.25		Illumina HiSeq	GAS390	
GCF_019336065.1	10	46	98773	1850828	Scaffold	98.58		Illumina HiSeq	GAS424	
GCF_019336085.1	10	45	99490	1851892	Scaffold	99.25		Illumina HiSeq	GAS373	
GCF_019336105.1	10	42	148556	1793992	Scaffold	99.25		Illumina HiSeq	GAS367	
GCF_019336125.1	10	46	98773	1851100	Scaffold	98.92		Illumina HiSeq	GAS315	
GCF_019336135.1	10	35	99711	1819444	Scaffold	99.25		Illumina HiSeq	GAS306	
GCF_019342845.1	1	1	1866006	1866006	Complete Genome	99.52		Illumina MiSeq; ONT GridION	TSPY806	
GCF_019342865.1	1	1	1823857	1823857	Complete Genome	99.49		Illumina MiSeq; ONT GridION	TSPY637	
GCF_019342885.1	1	1	1866277	1866277	Complete Genome	99.52		Illumina MiSeq; ONT GridION	TSPY515	
GCF_019342905.1	1	1	1885850	1885850	Complete Genome	99.48		Illumina MiSeq; ONT GridION	ABC245	
GCF_019342925.1	1	1	1931322	1931322	Complete Genome	99.56		Illumina MiSeq; ONT GridION	ABC221	
GCF_019342945.1	1	1	1866583	1866583	Complete Genome	99.52		Illumina MiSeq; ONT GridION	ABC208	
GCF_019342965.1	1	1	1823813	1823813	Complete Genome	99.49		Illumina MiSeq; ONT GridION	ABC199	
GCF_019342985.1	1	1	1890316	1890316	Complete Genome	99.52		Illumina MiSeq; ONT GridION	ABC157	
GCF_019343005.1	1	1	1887828	1887828	Complete Genome	99.6		Illumina MiSeq; ONT GridION	ABC155	
GCF_019343025.1	1	1	1866269	1866269	Complete Genome	99.52		Illumina MiSeq; ONT GridION	ABC122	
GCF_019343045.1	1	1	1887256	1887256	Complete Genome	99.52		Illumina MiSeq; ONT GridION	ABC76	
GCF_019343065.1	1	1	1890992	1890992	Complete Genome	99.6		Illumina MiSeq; ONT GridION	ABC25	
GCF_019343085.1	1	1	1890273	1890273	Complete Genome	99.52		Illumina MiSeq; ONT GridION	ABC3	
GCF_019448315.1	1	1	1860158	1860158	Complete Genome	99.52		Illumina MiSeq; Oxford Nanopore GridION	TSPY767	
GCF_020826915.1	12	1	1878218	1878218	Complete Genome	99.52		Illumina MiSeq; Oxford Nanopore GridION	TSPY141	
GCF_020826935.1	12	1	1970284	1970284	Complete Genome	99.37		Illumina MiSeq; Oxford Nanopore GridION	TSPY153	
GCF_020826955.1	12	1	1758170	1758170	Complete Genome	99.12	0.08	Illumina MiSeq; Oxford Nanopore GridION	TSPY764	
GCF_020826975.1	8	1	1841971	1841971	Complete Genome	98.6		Illumina MiSeq; Oxford Nanopore GridION	TSPY210	
GCF_020826995.1	12	1	1845647	1845647	Complete Genome	99.78		Illumina MiSeq; Oxford Nanopore GridION	TSPY1312	
GCF_020827015.1	12	1	1791351	1791351	Complete Genome	99.34		Illumina MiSeq; Oxford Nanopore GridION	TSPY416	
GCF_020827035.1	12	1	1781254	1781254	Complete Genome	99.44		Illumina MiSeq; Oxford Nanopore GridION	TSPY1309	
GCF_020827055.1	12	1	1902845	1902845	Complete Genome	99.2		Illumina MiSeq; Oxford Nanopore GridION	TSPY1349	
GCF_020827075.1	12	1	1890384	1890384	Complete Genome	99.0	0.27	Illumina MiSeq; Oxford Nanopore GridION	TSPY1026	
GCF_020827095.1	15	1	1780403	1780403	Complete Genome	98.81		Illumina MiSeq; Oxford Nanopore GridION	TSPY136	
GCF_020827115.1	9	1	1827693	1827693	Complete Genome	99.03		Illumina MiSeq; Oxford Nanopore GridION	TSPY383	
GCF_020827135.1	12	1	1852565	1852565	Complete Genome	99.16	0.68	Illumina MiSeq; Oxford Nanopore GridION	TSPY270	
GCF_022494495.1	6	1	1819973	1819973	Complete Genome	99.16		Illumina; Oxford Nanopore	SHZ-1	
GCF_022869605.1	9	1	1914863	1914863	Complete Genome	99.53		Illumina; PacBio	PartK-Spyogenes-RM8376	
GCF_022869745.1	15	1	1860753	1860753	Chromosome	99.26	0.08	Illumina NovaSeq	52SS1	
GCF_023278205.1	12	1	1800518	1800518	Complete Genome	99.42	0.08	Illumina MiSeq; Oxford Nanopore GridION	MGAS270	
GCF_023380045.1	15	1	1910967	1910967	Complete Genome	98.48		Illumina HiSeq	21SPY7071	cerebral abscess
GCF_026781925.1	15	45	133283	1853807	Scaffold	98.06	0.25	Illumina MiSeq	A16000451	
GCF_026782005.1	10	35	148040	1791139	Scaffold	99.42		Illumina MiSeq	A13000833	
GCF_027982845.1	15	76	85527	1848374	Scaffold	99.45		Illumina MiSeq	MGAS8232_WT	
GCF_028215815.1	12	1	1854315	1854315	Complete Genome	99.69	0.43	Illumina HiSeq; Oxford Nanopore GridION	1095	
GCF_028370195.1	9	1	1902947	1902947	Complete Genome	99.72		Oxford Nanopore	SP1451	
GCF_028370215.1	9	1	1831250	1831250	Complete Genome	99.39		Oxford Nanopore	SP1450	
GCF_028370235.1	9	1	1837335	1837335	Complete Genome	99.72		Oxford Nanopore	SP1448	
GCF_028370255.1	9	1	1872024	1872024	Complete Genome	99.69		Oxford Nanopore	SP1426	
GCF_028370275.1	9	1	1837261	1837261	Complete Genome	99.72		Oxford Nanopore	SP1384	
GCF_028370295.1	9	1	1883075	1883075	Complete Genome	99.72		Oxford Nanopore	SP1380	
GCF_028867825.1	6	1	1863912	1863912	Complete Genome	98.52		Illumina MiSeq; PacBio	MGAS10870	
GCF_029280505.1	12	1	1856557	1856557	Complete Genome	99.68	0.03	Illumina HiSeq; Oxford Nanopore GridION	1039	
GCF_029280565.1	12	1	1853582	1853582	Complete Genome	99.72	0.43	Illumina HiSeq; Oxford Nanopore GridION	1042	
GCF_029280585.1	12	1	1916409	1916409	Complete Genome	99.68	2.21	Illumina HiSeq; Oxford Nanopore GridION	1133	
GCF_029323775.1	12	1	1842099	1842099	Complete Genome	99.72	0.03	Illumina HiSeq; Oxford Nanopore GridION	1004	
GCF_029637645.1	9	1	2008188	2008188	Complete Genome	99.42	2.67	Illumina HiSeq; Oxford Nanopore PromethION	1044	
GCF_033008475.1	12	56	149366	1855299	Scaffold	99.19		DNBSEQ-G400RS	AB1	
GCF_034430055.1	9	1	1833607	1833607	Complete Genome	99.21		PacBio Sequel	NV28	
GCF_034432415.1	9	1	1834709	1834709	Complete Genome	99.33		PacBio Sequel	NV27	
GCF_034433155.1	9	25	165316	1798613	Scaffold	99.72		Illumina NovaSeq	4756	
GCF_034434355.2	9	1	1835839	1835839	Complete Genome	99.72		PacBio Sequel	NV1	
GCF_034436135.1	9	1	1862268	1862268	Complete Genome	98.82		PacBio Sequel	NV6	
GCF_035918415.1	12	1	1841219	1841219	Complete Genome	99.44	0.08	PacBio RSII	11RS100	
GCF_035918435.1	12	1	1805137	1805137	Complete Genome	98.81		PacBio RSII	SS1445	
GCF_035918455.1	12	1	1788060	1788060	Complete Genome	99.78		PacBio RSII	SS1366	
GCF_035918475.1	13	1	1846043	1846043	Complete Genome	99.07	0.08	PacBio RSII	2907-97	
GCF_035918495.1	13	1	1749382	1749382	Complete Genome	99.67		PacBio RSII	D641	
GCF_035918515.1	12	1	1842075	1842075	Complete Genome	99.78		PacBio RSII	6745-99	
GCF_035918535.1	12	1	1821159	1821159	Complete Genome	98.11	0.4	PacBio RSII	A946	
GCF_035918555.1	12	1	1741389	1741389	Complete Genome	97.79		PacBio RSII	CT95-157	
GCF_035918575.1	12	1	1793445	1793445	Complete Genome	98.97	0.46	PacBio RSII	AW-534	
GCF_035918595.1	12	1	1814755	1814755	Complete Genome	99.34		PacBio RSII	6702-99	
GCF_036347555.1	12	2	1829882	1834849	Complete Genome	99.11		PacBio Sequel	Spyo01	
GCF_036347575.1	9	1	1835741	1835741	Complete Genome	99.61		PacBio Sequel	Spyo06	
GCF_036347595.1	12	2	1833938	1838905	Complete Genome	99.11		PacBio Sequel	Spyo09	
GCF_036353505.2	10	1	1837895	1837895	Complete Genome	99.34		Oxford Nanopore GridION; Illumina NextSeq	Isolate 21	
GCF_037095955.1	9	24	165316	1798523	Scaffold	99.72		Illumina NovaSeq	4756.1	
GCF_038385395.1	9	1	1838577	1838577	Complete Genome	99.72		Illumina NextSeq;Oxford Nanopore GridION	MGAS37856	
GCF_038386885.1	9	1	1838577	1838577	Complete Genome	99.72		Illumina NextSeq;Oxford Nanopore GridION	MGAS37835	
GCF_039619335.1	12	2	1788670	1792091	Complete Genome	97.73	0.24	Illumina MiSeq; Oxford Nanopore MinION	318231	
GCF_039889385.1	9	23	203626	1798352	Scaffold	99.72		Illumina	GAS-LAR-5996	
GCF_041071735.1	14	1	2066953	2066953	Complete Genome	99.55	0.44	Oxford Nanopore PromethION + Illumina MiSeq	8373/17	
GCF_041071845.1	14	1	1926430	1926430	Complete Genome	99.62		Oxford Nanopore PromethION + Illumina MiSeq	4958/15	
GCF_041072535.1	14	1	1963238	1963238	Complete Genome	99.62		Oxford Nanopore PromethION + Illumina MiSeq	1966/14	
GCF_041072725.1	14	1	2067793	2067793	Complete Genome	99.28		Oxford Nanopore PromethION + Illumina MiSeq	9606/11	
GCF_041072835.1	14	1	2002007	2002007	Complete Genome	99.62		Oxford Nanopore PromethION + Illumina MiSeq	1510/08	
GCF_041073745.1	14	1	2003379	2003379	Complete Genome	99.62		Oxford Nanopore PromethION + Illumina MiSeq	997/08	
GCF_041074175.1	14	1	1924471	1924471	Complete Genome	99.62		Oxford Nanopore PromethION + Illumina MiSeq	1851/03	
GCF_041074825.1	14	1	1972692	1972692	Complete Genome	99.62	0.27	Oxford Nanopore PromethION + Illumina MiSeq	400/03	
